Keyword,Company Name,Address,Location,Website,Contact No,Email,Facebook Page URL
butchery,Vencor Holdings,"Plaas Rondepan 622, Dendron Road, Polokwane, 0699","Polokwane, Limpopo",https://www.vencorh.co.za,015 590 1097,sales@vencorh.co.za,demo-data
butchery,Waltloo Meat & Chicken Polokwane,"101 Paul Kruger Street, Polokwane, 0700","Polokwane, Limpopo",https://www.waltloo.com,015 297 5109,waltloopolokwane@gmail.com,demo-data
butchery,Waltloo Meat & Chicken Groblersdal,"7 Maartens Sentrum, c/o Klip & Voortrekker, Groblersdal, 0470","Groblersdal, Limpopo",https://www.waltloo.com,087 160 0973,groblersdal@waltloo.com,demo-data
butchery,Waltloo Meat & Chicken Marble Hall,"c/o Ewoud Malan & N11, Marble Hall, 0450","Marble Hall, Limpopo",https://www.waltloo.com,demo-data,marblehall@waltloo.com,demo-data
butchery,Waltloo Meat & Chicken Tzaneen,"Shop 1 Tzaneen Crossing, 12 Lydenburg Rd, Tzaneen, 0850","Tzaneen, Limpopo",demo-data,015 307 6458,wmctzaneen@yahoo.co.uk,demo-data
butchery,Pebetsi Butchery & Veggies Hypermarket,"Morupu Mmola Road, Metz, Behind Chronic Limpopo, Tzaneen, 0850","Tzaneen, Limpopo",https://pebetsi.co.za,+27 15 590 0055,info@pebetsi.co.za,demo-data
pork butchery,The Flying Pig Pork Butchery,"84 Silicon Street, Ladine, Polokwane, 0699","Polokwane, Limpopo",https://theflyingpig.co.za,+27 15 065 0394,sales@theflyingpig.co.za,demo-data
butchery,Roots Butchery Thavhani Mall,"Shop L43 Thavhani Mall, R524, Thohoyandou, 0950","Thohoyandou, Limpopo",https://rootsbutchery.co.za,063 189 9130,info@rootsbutchery.co.za,https://www.facebook.com/RootsButchery/
butchery,Roots Butchery Paledi,"R71, Shop 7 Paledi Mall, Sovenga, 0727","Sovenga (Mankweng), Limpopo",https://rootsbutchery.co.za,+27 15 286 8073,roots.butchery.paledi@gmail.com,demo-data
halaal butchery,Maliyah's Halaal Butchery,"5A Witklip Street, Ladanna, Polokwane, 0699","Polokwane, Limpopo",https://mh-butchery-polokwane.business.site,074 616 0088,mhbutchery01@gmail.com,demo-data
butchery,MeatWorld Polokwane,"The Greenery Shopping Centre, Cnr Grobler & Oost St, Polokwane, 0699","Polokwane, Limpopo",demo-data,010 555 0805,polokwane@meatworld.co.za,demo-data
butchery,Super Meat City Tzaneen,"28 Skirving Street, Tzaneen, 0850","Tzaneen, Limpopo",demo-data,015 307 1070,supermeattzn@gmail.com,demo-data
butchery,One Stop Fresh Fruit & Meat Market,"Onverwacht, Limpopo (Fresh Fruit & Meat Market)","Onverwacht, Limpopo",demo-data,081 553 1279,pierre@onestopfruit.co.za,demo-data
butchery,Beefmar Biltong & Braai,"6 Boundary Street, Arbor Park, Tzaneen, 0850","Tzaneen, Limpopo",demo-data,063 757 2751,demo.beefmar@example.com,demo-data
butchery,Big 5 Butchery,"R71, Tzaneen, 0850","Tzaneen, Limpopo",demo-data,084 509 6979,demo.big5butchery@example.com,demo-data
butchery,Biltong & Boerie,"R71, Inzana area, Tzaneen, 0850","Tzaneen, Limpopo",demo-data,demo-data,demo.biltongboerie@example.com,demo-data
butchery,Gararo Butchery,"28 Skirving Street, Tzaneen, 0850","Tzaneen, Limpopo",demo-data,060 585 0687,demo.gararo@example.com,demo-data
butchery,"Hardekool Wors, Biltong & Braai Slaghuis",Between Tzaneen & Letsitele (roadside butchery),"Near Tzaneen, Limpopo",demo-data,078 036 8020,demo.hardekool@example.com,demo-data
butchery,Meat Boys Makhado,"Louis Trichardt (Makhado), Limpopo","Louis Trichardt, Limpopo",demo-data,demo-data,demo.meatboys@example.com,https://www.facebook.com/meatboysmakhado/
butchery,Limpopo Premium Meats,"24 Rupee Ave, Nirvana X1(E), Polokwane, 0699","Polokwane, Limpopo",demo-data,015 292 6838,demo.limpopopremiummeats@example.com,demo-data
